baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000021895.10	527.851978808582	2.53546285110887	0.141772211202142	17.8840608438684	1.569758457433e-71	1.99776601658625e-69
ENSMUSG00000026981.15	4900.78163164682	-1.68001523432233	0.0939919885632998	-17.8740258611605	1.87929266183831e-71	2.37665514743678e-69
ENSMUSG00000073722.3	562.589200807104	8.25878150790741	0.462077691012301	17.8731448597192	1.90921297781247e-71	2.39940340986583e-69
ENSMUSG00000011179.8	2561.68964272571	1.53330488800073	0.0860625545925182	17.8161674988675	5.29416747953469e-71	6.61211923468842e-69
ENSMUSG00000042306.11	674.286568685425	8.6602787801938	0.486281117684009	17.8092022602888	5.99582826965187e-71	7.44222931149134e-69
ENSMUSG00000000889.8	230.113993167088	5.19117909216263	0.292597453918864	17.7417097197371	1.99763268852349e-70	2.46431890189143e-68
ENSMUSG00000026249.10	14422.0128345868	-1.90639743871295	0.107543409344998	-17.7267714527931	2.60574522898169e-70	3.19489786977829e-68
ENSMUSG00000030091.17	509.795846395165	8.11864995920344	0.458117392835963	17.7217675778367	2.84820590013626e-70	3.47101359029939e-68
ENSMUSG00000002228.7	239.427374811546	3.85875955664444	0.218319347092161	17.6748401277305	6.55259016265043e-70	7.93731825244427e-68
ENSMUSG00000025357.8	848.945582740306	2.07368896920675	0.117652161006832	17.6255918417541	1.56720035481468e-69	1.88702184039602e-67
ENSMUSG00000044641.7	280.878947739416	3.02678124622083	0.171834800679246	17.6144834123021	1.90722289936247e-69	2.28276417026074e-67
ENSMUSG00000044393.15	315.97066077132	6.97242149152575	0.398030040704011	17.5173247707468	1.05679243258903e-68	1.25739539849114e-66
ENSMUSG00000018411.17	222.618630146669	5.18099719090662	0.296366458544048	17.4817258888174	1.97431806122648e-68	2.33526985736129e-66
ENSMUSG00000024222.17	762.810031114742	2.10860027384976	0.120798045271696	17.4555827381738	3.12175591892685e-68	3.6708928665369e-66
ENSMUSG00000023039.17	500.6652177509	3.38302418846266	0.193879076387557	17.4491453719334	3.49421717935986e-68	4.08498366526559e-66
ENSMUSG00000036553.16	213.613639174559	3.46325962577103	0.198486240700275	17.4483612241956	3.54251319580547e-68	4.11750608908996e-66
ENSMUSG00000028392.15	269.264005383647	6.47833680410362	0.371421950343684	17.4419869318684	3.9606180413485e-68	4.57701767674917e-66
ENSMUSG00000038028.9	837.478351020249	2.38062369039638	0.136596843723787	17.4281017445047	5.0494543158604e-68	5.80196727904691e-66
ENSMUSG00000041649.13	472.853920901863	3.30465645568232	0.189662920122487	17.4238404298959	5.44000880702731e-68	6.2152100620287e-66
ENSMUSG00000037465.10	1633.62619108077	1.81779496921414	0.104418753978741	17.4087019807212	7.08726555847008e-68	8.05145400280883e-66
ENSMUSG00000078670.3	299.48536965333	2.77803261817728	0.159600674317619	17.4061458703411	7.41081762515717e-68	8.37172588801463e-66
ENSMUSG00000050296.14	288.471452883411	6.6567152710172	0.382712184305932	17.3935284634052	9.23686028777796e-68	1.03762450651754e-65
ENSMUSG00000054423.14	202.529685467679	4.24760982060498	0.245482981469648	17.3030724784894	4.45957995428265e-67	4.98184631781753e-65
ENSMUSG00000092035.8	1371.62505835215	1.63334142397082	0.0944369299264323	17.2955794437962	5.07897425725685e-67	5.64243173286855e-65
ENSMUSG00000022596.3	1256.09604472722	2.36846036593658	0.137538335577192	17.2203651876193	1.86805771122294e-66	2.06389584930059e-64
ENSMUSG00000032420.8	1357.39538329776	2.4458720531322	0.142055151822968	17.217763817396	1.9539294906762e-66	2.13874464787906e-64
ENSMUSG00000049044.16	223.954903606754	5.50580276836249	0.319776285659197	17.2176706506321	1.95707686099934e-66	2.13874464787906e-64
ENSMUSG00000041605.16	270.766797032295	2.97674925458291	0.173658222383692	17.1414241935858	7.28443752552104e-66	7.91759296017173e-64
ENSMUSG00000052397.8	2218.24357342089	1.9118095344589	0.111544556060921	17.1394248358903	7.5392743040885e-66	8.15052299497912e-64
ENSMUSG00000092060.4	274.305124975326	4.31418570064924	0.251923299557026	17.1249968075012	9.66147637391611e-66	1.0388928712658e-63
ENSMUSG00000014602.15	2159.10242037347	-1.7680716952019	0.103371400171037	-17.1040702967791	1.38392459280371e-65	1.48021041021793e-63
ENSMUSG00000038235.4	1182.37948820812	2.21704904886488	0.12968939534064	17.0950681282893	1.61507192107013e-65	1.71829979835335e-63
ENSMUSG00000035773.6	203.493588367891	4.55927746150805	0.2675780380781	17.0390570700623	4.21472098839043e-65	4.46050577023973e-63
ENSMUSG00000026202.13	1810.8339522534	2.18152058141234	0.128711176671662	16.9489599724298	1.95888368016257e-64	2.06226350998476e-62
ENSMUSG00000041235.12	258.328490788732	2.95770104515642	0.174761396241023	16.9242241637695	2.98251094911291e-64	3.12355886274804e-62
ENSMUSG00000028766.10	185.315873612137	4.67854164611372	0.276508563557409	16.9200605793981	3.20101090590098e-64	3.3350221396817e-62
ENSMUSG00000074743.4	2624.39509962037	-1.55687834078642	0.0921661888321241	-16.892076807279	5.14592998017963e-64	5.33372989904391e-62
ENSMUSG00000030411.16	265.128717735011	3.43753366031014	0.20364468855927	16.8800555743915	6.30854104005385e-64	6.50523811453348e-62
ENSMUSG00000035834.11	552.64433891548	2.84887535411632	0.168830225726508	16.8742021273565	6.9659796409579e-64	7.14652646022354e-62
ENSMUSG00000029168.14	536.579672051658	8.48354608695122	0.503041582678508	16.8645026158265	8.20902151040219e-64	8.37903576300341e-62
ENSMUSG00000001021.13	202.405468829205	5.76679629161062	0.34240537818185	16.8420143463632	1.20078364569388e-63	1.21946250240468e-61
ENSMUSG00000034730.17	368.908664909689	7.41064785258349	0.440107304388342	16.8382750722185	1.27911036078137e-63	1.29247995651215e-61
ENSMUSG00000032561.15	197.101796148643	4.83730967179482	0.287895786155494	16.8022941092377	2.34784790502382e-63	2.36052628371095e-61
ENSMUSG00000029246.14	914.498006818146	2.06108775927979	0.122689676165194	16.7991947138622	2.47379762051015e-63	2.47478221657802e-61
ENSMUSG00000021696.9	310.378926611131	3.56095771618173	0.212088287907207	16.7899781327846	2.88951334247986e-63	2.87635318270223e-61
